Id,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LanSlope,1stFlrSF,2ndFlrSF,GarageArea,GrLivArea,TotalArea,BedroomAbvGr,Neighborhood,Age,TimeSinceSold,GarageAge,ExterQual,ExterCond,BsmtQual,BsmtCond,HeatingQC,KitchenQual,FireplaceQu,GarageQual,GarageCond,MSZoning,MSSubClass,Condition1,Condition2,BldgType,HouseStyle,MasVnrType,Exterior1st_VinylSd,Exterior1st_HdBoard,Exterior1st_MetalSd,Exterior1st_Wd Sdng,Exterior2nd_VinylSd,Exterior2nd_HdBoard,Exterior2nd_MetalSd,Exterior2nd_Wd Sdng,Foundation_CBlock,Foundation_PConc,Heating,CentralAir,Electrical,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,KitchenAbvGr,TotRmsAbvGrd,Functional,Fireplaces,GarageType_Attached,GarageType_Detached,GarageType_BuiltIn,GarageFinish_Unf,GarageFinish_RFn,GarageFinish_Fin,GarageCars,PavedDrive,Fence,MiscFeature,MiscVal,SaleType,SaleCondition,SalePrice
1,1,1,1,1,1,1,1,856,854,548,1710,14452,3,2,13,8.5,13,4,3,4,3,5,4,0,3,3,3,4,1,1,3,4,1,1,0,0,0,1,0,0,0,0,1,1,1,0,1,0,2,1,1,8,1,0,1,0,0,1,0,1,2,1,1,0,0,1,1,208500
2,1,1,1,1,1,0,1,1262,0,460,1262,15486,3,3,40,9.25,40,3,3,4,3,5,3,3,3,3,3,3,0,1,3,3,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,2,0,1,6,1,1,1,0,0,1,0,1,2,1,1,0,0,1,1,181500
3,1,1,0,1,1,1,1,920,866,608,1786,17542,3,2,14,7.916666667,15,4,3,4,3,5,4,3,3,3,3,4,1,1,3,4,1,1,0,0,0,1,0,0,0,0,1,1,1,0,1,0,2,1,1,6,1,1,1,0,0,1,0,1,2,1,1,0,0,1,1,223500
4,1,1,0,1,1,0,1,961,756,642,1717,15505,3,3,46,10.5,18,3,3,3,4,4,4,4,3,3,3,3,1,1,3,4,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,7,1,1,0,1,0,0,1,1,3,1,1,0,0,1,0,140000
5,1,1,0,1,1,0,1,1145,1053,836,2198,22492,4,4,16,7.666666667,16,4,3,4,3,5,4,3,3,3,3,4,1,1,3,4,1,1,0,0,0,1,0,0,0,0,1,1,1,0,1,0,2,1,1,9,1,1,1,0,0,1,0,1,3,1,1,0,0,1,1,250000
6,1,1,0,1,1,1,1,796,566,480,1362,19386,1,1,21,6.833333333,23,3,3,4,3,5,3,0,3,3,3,2,1,1,3,2,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,5,1,0,1,0,0,0,1,1,2,1,1,1,700,1,1,143000
7,1,1,1,1,1,1,1,1694,0,636,1694,18053,3,3,11,9,12,4,3,5,3,5,4,4,3,3,3,3,1,1,3,3,0,1,0,0,0,1,0,0,0,0,1,1,1,0,1,0,2,0,1,7,1,1,1,0,0,1,0,1,2,1,1,0,0,1,1,307000
8,1,1,0,1,1,0,1,1107,983,484,2090,18167,3,2,43,6.75,43,3,3,4,3,5,3,3,3,3,3,4,0,1,3,4,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,2,1,1,7,1,2,1,0,0,1,0,1,2,1,1,1,350,1,1,200000
9,1,1,1,1,1,1,1,1022,752,468,1774,12386,2,1,66,8.333333333,85,3,3,3,3,4,3,3,2,3,2,2,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,2,8,0,2,0,1,0,0,1,1,2,1,1,0,0,1,0,129900
10,1,1,1,1,1,0,1,1077,0,205,1077,11815,2,1,66,8.583333333,77,3,3,3,3,5,3,3,4,3,3,2,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,2,5,1,2,1,0,0,1,0,1,1,1,1,0,0,1,1,118000
11,1,1,1,1,1,1,1,1040,0,384,1040,15814,3,1,51,8.5,51,3,3,3,3,5,3,0,3,3,3,3,1,1,3,3,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,1,5,1,0,0,1,0,0,1,1,1,1,1,0,0,1,1,129500
12,1,1,0,1,1,1,1,1182,1142,736,2324,20197,4,4,10,10.08333333,11,5,3,5,3,5,5,4,3,3,3,4,1,1,3,4,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,3,0,1,11,1,2,0,0,1,1,1,0,3,1,1,0,0,0,0,345000
13,1,1,0,1,1,1,1,912,0,352,912,17284,2,1,54,7.916666667,54,3,3,3,3,3,3,0,3,3,3,3,1,1,3,3,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,4,1,0,0,1,0,0,1,1,1,1,1,0,0,1,1,144000
14,1,1,0,1,1,1,1,1494,0,840,1494,18058,3,2,9,9,10,4,3,4,3,5,4,4,3,3,3,3,1,1,3,3,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,2,0,1,7,1,1,1,0,0,1,0,1,3,1,1,0,0,0,0,279500
15,1,1,0,1,1,0,1,1253,0,352,1253,16885,2,1,56,8.25,56,3,3,3,3,3,3,2,3,3,3,3,1,1,3,3,1,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,1,1,1,5,1,1,1,0,0,1,0,1,1,1,1,0,0,1,1,157000
16,1,1,1,1,1,0,1,854,0,576,854,10279,2,1,15,9.083333333,25,3,3,3,3,5,3,0,3,3,2,1,1,1,3,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,5,1,0,0,1,0,0,1,1,2,1,1,0,0,1,1,132000
17,1,1,0,1,1,0,1,1004,0,480,1004,15917,2,1,46,6.416666667,46,3,3,3,3,5,3,3,3,3,3,3,1,1,3,3,1,0,0,0,1,0,0,0,1,1,0,1,1,0,1,0,1,0,1,5,1,1,1,0,0,1,1,0,2,1,1,1,700,1,1,149000
